Season,Episode,Line Number,Speaker,Line
1,20,1,Ted from 2030:,"Kids, about eight months into Aunt Lily and Uncle Marshall's engagement, there occurred a game-changing emergency.
"
1,20,2,Marshall:,"Van Smoot is available.
"
1,20,3,Lily:,"Oh, my God!
"
1,20,4,Ted from 2030:,"Van Smoot House was a gorgeous mansion right on the Hudson River. It had everything Marshall and Lily wanted for their wedding, but it was never available. And then, suddenly, it was.
"
1,20,5,Marshall:,"There was a cancellation two months from now.
"
1,20,6,Lily:,"You want to have our wedding in two months? No. It's impossible.
"
1,20,7,Marshall:,"It's Van Smoot, Lily. It's the dream!
"
1,20,8,Lily:,"No, there's just not enough time. There's no way... Oh! Mini-vomit.
"
1,20,9,Marshall:,"Okay, look, look, look. I know that it's sudden, but check it. If we don't take this, guess who's on their way with a deposit check.
"
1,20,10,Lily:,"Todd and Valerie?
"
1,20,11,Ted from 2030:,"When you're planning a wedding, there's always one couple with similar taste that seems to be one step ahead of you. Todd and Valerie were that couple.
"
1,20,12,Marshall:,"We got to make a decision. Todd and Valerie are in motion. Van Smoot!
"
1,20,13,Lily:,"Oh! Kids, color!(Lily runs out of class, Marshall runs out pf the appartment, they join in the street) Come on, baby.
"
1,20,14,Marshall:,"Come on, come on, come on.
"
1,20,15,Todd:,"Hello, Marshall. Lily.
"
1,20,16,Marshall:,"Todd. Valerie. Stairs.
"
1,20,17,Lily:,"I can't believe it. We got Van Smoot House.
"
1,20,18,Marshall:,"It is on. It is on! Like the former Soviet Republic of Azerbaijan.
"
1,20,19,Robin:,"What?
"
1,20,20,Marshall:,"You're a wonder.
"
1,20,21,Ted:,"Wow! You guys are getting married in two months.
"
1,20,22,Robin:,"How are you going to get everything done?
"
1,20,23,Lily:,"Division of labor. Everyone's got a job to do, so listen up. Okay, Robin, you and Ted go to the florist.
"
1,20,24,Ted from 2030:,"Robin had been mad at me since the night I slightly exaggerated my not-having-a-girlfriend-ness.
"
1,20,25,Ted:,"Was it...?
"
1,20,26,Robin:,"It was your girlfriend. You might want to call her back.
"
1,20,27,Lily:,"Or, actually, Robin, why don't you go to the florist? And, Ted, I could use your keen architectural eye on... on the invitations.
"
1,20,28,Marshall:,"Wow. That was really awkward, Lil. And still. It's still really awkward right now.
"
1,20,29,Barney:,"Hey, what about me? What's my job? What do I get to do?
"
1,20,30,Lily:,"Okay, your job is very simple. At the wedding, do not sleep with anyone even remotely related to me.
"
1,20,31,Barney:,"Lil, you know I can't promise that.
"
1,20,32,Marshall:,"Shh! Shh! Look how cute she looks. All tuckered out. Hey, babe. Hey, little one. Hey, Lilypad.
"
1,20,33,Lily:,"Crap! Band! We forgot a band! It's just gonna be silence and then people chewing.
"
1,20,34,Marshall:,"Shh! Shh! Baby, don't worry about it. I called The 88!
"
1,20,35,Lily:,"Who?
"
1,20,36,Marshall:,"The 88. They're this awesome band. They played my law review party. They were found guilty. On three counts of rocking.
"
1,20,37,Ted:,"I saw them two months ago at my cousin Bonzo's wedding, they were great.
"
1,20,38,Lily:,"John ""Bonzo"" Bonham from Led Zeppelin?
"
1,20,39,Ted:,"Yes, Lily, my cousin, the drummer from Led Zeppelin, who died in 1980, got married two months ago.
"
1,20,40,Lily:,"Look, I... I can't sign off on a band I've never even seen. We... we don't even know if they can play our song. They're... they're going to have to come over here and audition.
"
1,20,41,Marshall:,"Baby, The 88 don't audition. They're, like, the Wiggles of wedding bands.
"
1,20,42,Lily:,"Well, then... I have to say no.
"
1,20,43,Marshall:,"Baby, they're only holding the date until Monday.
"
1,20,44,Lily:,"Well... well, are they playing anywhere this weekend?
"
1,20,45,Marshall:,"Let me check their Website.
"
1,20,46,Lily:,"What?
"
1,20,47,Ted:,"Lily, you're being a wee bit intense about this band thing.
"
1,20,48,Lily:,"Intense? I have a wedding to plan in nine weeks for 200 people. Even if a dinosaur should poke his head out of my butt and consume this coffee table, I need you to roll with it, okay?
"
1,20,49,Ted:,"Wow.
"
1,20,50,Barney:,"Guys! I just tasted an amazing caterer.
"
1,20,51,Lily:,"We already have a caterer.
"
1,20,52,Barney:,"Oh, right. You're getting married. You see what I did there? Took a...
"
1,20,53,Marshall:,"It looks like The 88 are playing at a high school prom in New Jersey tomorrow.
"
1,20,54,Lily:,"A prom? Can... can we go to that?
"
1,20,55,Marshall:,"Yeah, we'll just call the high school, they'll let us stand in the back and watch.
"
1,20,56,Lily:,"Yeah. No, they won't.
"
1,20,57,Marshall:,"Why not?
"
1,20,58,Lily:,"'Cause it turns out we're not in high school.
"
1,20,59,Barney:,"No sweat, we'll just sneak in.
"
1,20,60,Marshall:,"We're not sneaking in to a high school prom.
"
1,20,61,Lily:,"Yes, we are. It's the only way.
"
1,20,62,Ted:,"You're getting on board with Barney's idea? Man, you really have snapped.
"
1,20,63,Lily:,"It's nine weeks till the wedding. At this point, I'd say yes to just about anything.
"
1,20,64,Barney:,"Well...
"
1,20,65,Lily:,"No, Barney.
"
1,20,66,Ted from 2030:,"And so, Aunt Lily had the plan to crash the prom.
"
1,20,67,Robin:,"I'll go with you.
"
1,20,68,Lily:,"Really?
"
1,20,69,Robin:,"Yeah. I never got to go to my prom. We always had field hockey nationals in the spring.
"
1,20,70,Barney:,"Lesbian.
"
1,20,71,Robin:,"The cough is supposed to cover the ""lesbian.""
"
1,20,72,Barney:,"No, I'm trying to start a thing where the cough is separate.
"
1,20,73,Lily:,"Do you think we look young enough to blend in at a high school?
"
1,20,74,Barney:,"Please, I'm ageless, Scherbotsky just needs a good night's sleep, and you've got ""statutory"" written all over your body.
"
1,20,75,Ted:,"Hey, why don't we all go?
"
1,20,76,Robin:,"I don't know-- more people might be harder to sneak in. We don't want to mess things up for Lily.
"
1,20,77,Ted:,"Yeah, you're right. Besides, Marshall and I have been planning on having a guy's night out before the wedding. Why don't we just make it tomorrow night?
"
1,20,78,Marshall:,"Sounds awesome. We should go out and just get freakin' weird.
"
1,20,79,Ted:,"Yeah.
"
1,20,80,Marshall:,"'Cause, you know, you be a bad, bad man, and I be an outlaw.
"
1,20,81,Barney:,"Wow. Hey, Thelma, Louise, y'all don't drive off no cliffs now, ya hear? Lame! But seriously, leave me a message, and we'll meet up later.
"
1,20,82,Lily:,"All right, what do you think?
"
1,20,83,Barney:,"Horrible.
"
1,20,84,Lily:,"You're gonna make such a great dad.
"
1,20,85,Barney:,"You look so classy and nice. You're going to stick out like a sore thumb. Have you seen how the kids are dressing these days, with the Ashlee and the Lindsay and the Paris? They all dress like strippers. It's go ho or go home.
"
1,20,86,Lily:,"Well, we have to get in. I have to see this band, 'cause we have to make a decision by Monday, 'cause I'm getting married in 71 days, and we still don't have...
"
1,20,87,Robin:,"Shh. Sweetie, just focus on one thing at a time, okay? Right now, you just have to dress like a whore and that's it.
"
1,20,88,Lily:,"All right.
"
1,20,89,Barney:,"That's the spirit. Now, ladies, slut up!
"
1,20,90,Robin:,"I never thought this would be a bad thing, but my wardrobe just isn't slutty enough.
"
1,20,91,Lily:,"I didn't know I still had this.
"
1,20,92,Robin:,"What?
"
1,20,93,Lily:,"The dress I wore to my actual prom.
"
1,20,94,Scooter:,"Dude, you are the hottest girl at this prom, and not like in a corporate, plastic way. Like, truly, truly hot. Like a hot soul.
"
1,20,95,Lily:,"Aw, you look great, too, Scooter.
"
1,20,96,Scooter:,"So big news. I heard from umpire school. I'm in!
"
1,20,97,Lily:,"Oh, disco! I am so happy for you.
"
1,20,98,Scooter:,"You mean happy for us, right, babe?
"
1,20,99,Lily:,"Scooter, you're gonna be an umpire someday.
"
1,20,100,Scooter:,"No, baby. We're gonna be an umpire someday.
"
1,20,101,Barney:,"Nice. You ladies look good, but your outfits are missing just one thing.
"
1,20,102,Robin:,"No, Barney, this is as far as we're going to go. I'm not showing anymore...
"
1,20,103,Barney:,"Two beautiful flowers for two beautiful flowers.
"
1,20,104,Lily:,"Aw. Sweet. Thank you.
"
1,20,105,Barney:,"Oh, Robin, are you tearing up?
"
1,20,106,Robin:,"No. I've never been to prom before, okay?
"
1,20,107,Lily:,"We got to go. See ya.
"
1,20,108,Ted:,"Bye, have fun. See you.
"
