Season,Episode,Line Number,Speaker,Line
7,20,1,Every night at exactly 8,"0 p.m., the well-dressed blond man appears.
"
7,20,2,Woman,"Chuck and Joanne are going to be waiting. You don't understand!
"
7,20,3,"Last night, I had just come back from my 8","0 fart.
"
7,20,4,Just one little thing,"would it be okay if instead of using your coffee mugs, we use mine?
"
7,20,5,Narrator,"Kids, here's the deal with trilogy time:
"
7,20,6,(British accent),"Oh, and I'm from England.
"
7,20,7,Narrator,"We both got zeroes.
"
7,20,8,Barney,"Oh, really, Marshall? Nothing comes to mind?
"
7,20,9,(speaking French),"And it still makes sense that we all live together.
"
7,20,10,I don't know what I love more,"his thick mustache or his trucker hat.
"
7,20,11,(whispering),"Get me out of this thing!
"
7,20,12,Marshall,"Okay, that is so weird.
"
7,20,13,"Anyway, while it's just us guys, let me ask you something","we've all had that same fantasy about having s*x with a girl in a stormtrooper costume, right?
"
7,20,14,(laughing),"something is seriously wrong with me!
"
7,20,15,Barney,"Wait-wait-wait a minute!
"
7,20,16,And I'll give him this,"she is pretty damn cute.
"
7,20,17,And just know this,"Han shot first.
"
7,8,1,Narrator,"Kids, for years, your Uncle Barney had reveled in mocking Aunt Robin's Canadian heritage.
"
7,8,2,Narrator,"But all that was about to change.
"
7,8,3,Narrator,"Once upon a time at a Halloween party, I met a girl dressed like a pumpkin... a slutty pumpkin.
"
7,8,4,Narrator,"For my first date with the slutty pumpkin, I took her someplace special.
"
7,8,5,(sobbing),"Those poor ice cubes!
"
7,8,6,Narrator,"Even though my first date with Naomi was a little awkward, our second date was a lot awkward.
"
7,8,7,It's me,"you at age 15.
"
7,8,8,"I don't feel intimate with her. ""Intimate""? Let me remind you of some things you did feel ""intimate"" with when you were 15","a catcher's mitt, an oven mitt, a glass of warm water, a half-open hide-a-bed sofa, a top-loading VCR!
"
7,8,9,All,"Yes!
"
7,8,10,Narrator,"I knew it would be tough to break up with Naomi.
"
7,8,11,Ted,"Stay strong, Teddy. We can do this.
"
7,8,12,Barney,"I'll be right there.
"
7,8,13,(whispering),"Canada.
"
7,8,14,(sobbing),"I'm going to miss that stapler so much.
"
7,8,15,Kid,"That's for the stapler!
"
7,8,16,Naomi,"Why won't he stop sniffing my hair?
"
7,8,17,Narrator,"Kids, after spending a decade dreaming of the wrong girl, I wanted more than ever for the next woman I met to be the real thing.
"
7,8,18,(Canadian accent),"Oh, hey there, I'm Barney, how are you?
"
7,9,1,Answer,"a hurricane.
"
7,9,2,"Marshall, ask yourself this question","why today?
"
7,21,1,But then it hit me,"for the first time in my adult life, I didn't have a roommate!
"
7,21,2,(moaning),"Oh, yeah.
"
7,21,3,Can only mean one thing,"Lily dream-banged someone we know.
"
7,21,4,Narrator,"And, kids, they did make it.
"
7,21,5,Narrator,"Kids, you remember what happened.
"
7,21,6,And here it is,"Make... every... night... legendary.
"
7,21,7,Narrator,"That night was the night of Aunt Lily and Uncle Marshall's fancy dinner.
"
7,21,8,Narrator,"Robin had finally learned the lesson that nobody gets famous overnight.
"
7,21,9,But here's the crazy part,"that night, she got famous.
"
7,21,10,Announcer,"World Wide News brings you the world.
"
7,21,11,(imitates Redd Foxx),"You're locked out, dummy!
"
7,21,12,Better wardrobe,"75 points.
"
7,21,13,Apartment on a higher floor,"90 points.
"
7,21,14,Longer name,"110 points.
"
7,21,15,Made up the point system,"114 points.
"
7,21,16,(laughing),"What is wrong with you?
"
7,21,17,Narrator,"As a matter of fact, he was.
"
7,21,18,(crying),"I had no idea that food could be this delicious.
"
7,21,19,"Last year, I slapped on a dress, took a few laps around this very bar, and I got this","the phone number of one Stephanie McColgan.
"
7,21,20,REPORTER,"If you're just joining us, the World Wide News Eye in the Sky traffic chopper is out of control over Manhattan and being piloted by our own Robin Scherbatsky.
"
7,21,21,Narrator,"Kids, every now and then, New York has a moment when every eye in the city is watching the same thing.
"
7,21,22,Narrator,"Lily decided not to tell Marshall about her dream involving Frankenstein and the tea cup from Beauty and the Beast.
"
7,21,23,"Every night, between 9","0 p.m. and 4:00 a.m., I'm in hell.
"
7,21,24,Narrator,"Later that night...
"
7,23,1,Narrator,"Kids, when Aunt Lily went into labor, Marshall was somewhere slightly inconvenient, in Atlantic City with Uncle Barney, and drunk to the point of talking like Yoda.
"
7,23,2,Man,"Yeah, good luck getting a cab.
"
